0001F604 E415
0001F35A E33E
0001F35C E340
0001F372 E34D
0001F35E E339
0001F373 E147
0001F362 E343
0001F361 E33C
0001F366 E33A
0001F367 E43F
0001F382 E34B
0001F370 E046
0001F34E E345
0001F34A E346
0001F349 E348
0001F353 E347
0001F346 E34A
0001F345 E349
0001F3E0 E036
0001F3EB E157
0001F3E2 E038
0001F3E3 E153
0001F3E5 E155
0001F3E6 E14D
0001F3EA E156
0001F3E9 E501
0001F3E8 E158
0001F492 E43D
00026EA E037
0001F3EC E504
0001F307 E44A
0001F306 E146
0001F3E7 E154
0001F3EF E505
0001F3F0 E506
00026FA E122
0001F3ED E508
0001F5FC E509
0001F5FB E03B
0001F304 E04D
0001F305 E449
0001F303 E44B
0001F5FD E51D
0001F308 E44C
0001F3A1 E124
00026F2 E121
0001F3A2 E433
0001F6A2 E202
0001F6A4 E135
00026F5 E01C
0002708 E01D
0001F680 E10D
0001F6B2 E136
0001F699 E42E
0001F697 E01B
0001F695 E15A
0001F68C E159
0001F693 E432
0001F692 E430
0001F691 E431
0001F69A E42F
0001F683 E01E
0001F689 E039
0001F684 E435
0001F685 E01F
0001F3AB E125
00026FD E03A
0001F6A5 E14E
00026A0 E252
0001F6A7 E137
0001F530 E209
0001F3B0 E133
0001F68F E150
0001F488 E320
0002668 E123
0001F3C1 E132
0001F38C E143
0001F1EF E50B
0001F1F0 E514
0001F1E8 E513
0001F1FA E50C
0001F1EB E50D
0001F1EA E511
0001F1EE E50F
0001F1F7 E512
0001F1EC E510
0001F1E9 E50E
0000031 E21C
0000032 E21D
0000033 E21E
0000034 E21F
0000035 E220
0000036 E221
0000037 E222
0000038 E223
0000039 E224
0000030 E225
0000023 E210
0002B06 E232
0002B07 E233
0002B05 E235
00027A1 E234
0002197 E236
0002196 E237
0002198 E238
0002199 E239
00025C0 E23B
00025B6 E23A
00023EA E23D
00023E9 E23C
0001F197 E24D
0001F195 E212
0001F51D E24C
0001F199 E213
0001F192 E214
0001F3A6 E507
0001F201 E203
0001F4F6 E20B
0001F235 E22A
0001F233 E22B
0001F250 E226
0001F239 E227
0001F22F E22C
0001F23A E22D
0001F236 E215
0001F21A E216
0001F237 E217
0001F238 E218
0001F202 E228
0001F6BB E151
0001F6B9 E138
0001f6ba E139
0001f6bc E13A
0001f6ad E208
0001f17f E14F
000267F E20A
0001f687 E434
0001f6be E309
0003299 E315
0003297 E30D
0001f51e E207
0001f194 E229
0002733 E206
0002734 E205
0001F49F E204
0001F19A E12E
0001F4F3 E250
0001F4F4 E251
0001F4B9 E14A
0001F4B1 E149
0002648 E23F
0002649 E240
000264A E241
000264B E242
000264C E243
000264D E244
000264E E245
000264F E246
0002650 E247
0002651 E248
0002652 E249
0002653 E24A
00026CE E24B
0001F52F E23E
0001F170 E532
0001F171 E533
0001F18E E534
0001F17E E535
0001F532 E21A
0001F534 E219
0001F533 E21B
0001F55B E02F
0001F550 E024
0001F551 E025
0001F552 E026
0001F553 E027
0001F554 E028
0001F555 E029
0001F556 E02A
0001F557 E02B
0001F558 E02C
0001F559 E02D
0001F55A E02E
0002B55 E332
000274C E333
00000A9 E24E
00000AE E24F
0002122 E537
